gene	angle_pred
0	2.81818680026091
1	2.82821881032372
2	2.83748571894415
3	2.83896695532831
4	2.84583450583552
5	2.85789862530461
6	2.87970095585677
7	2.88169634040378
8	2.89328303655847
9	2.90513292760155
10	2.90936852915066
11	2.91360413069903
12	2.9213102323581
13	2.92714336570127
14	2.9391646394492
15	2.94209038733603
16	2.95236110899458
17	2.96758356713017
18	2.97195382652079
19	2.98308758258388
20	2.99125886589252
21	2.99846918179858
22	3.00476137598315
23	3.02120187556684
24	3.02610464554484
25	3.04630332334675
26	3.05144480496646
27	3.06664277979578
28	3.0672364985062
29	3.07310023587233
30	3.10571804004828
31	3.11410967252895
32	3.12647983243895
33	3.12910566054377
34	3.13998234245767
35	-3.11950930368604
36	-3.10660051239445
37	-3.10010021066538
38	-3.09836802103351
39	-3.09368560029777
40	-3.07906298182245
41	-3.07601481773777
42	-3.04097929322325
43	-3.034748307212
44	-3.03029847732076
45	-3.02134373023787
46	-3.01325813837677
47	-3.00580911090353
48	-2.99623004106624
49	-2.98927067850924
50	-2.98046895172464
51	-2.97625171267516
52	-2.9667277301507
53	-2.96087623446249
54	-2.95638355890355
55	-2.95173174224929
56	-2.94160179940618
57	-2.92886439091805
58	-2.92230900192906
59	-2.92084612800922
60	-2.90084943723816
61	-2.89925802628055
62	-2.89841947512216
63	-2.89169882423316
64	-2.8738627798961
65	-2.86599753728704
66	-2.86410620657437
67	-2.86256376210975
68	-2.85284391366005
69	-2.84882866140471
70	-2.83757248930773
71	-2.83036829433551
72	-2.82504930926371
73	-2.80540762561801
74	-2.80120262821724
75	-2.78878350198178
76	-2.7836787453148
77	-2.77855562621466
78	-2.77328560764304
79	-2.75866911014614
80	-2.7514465527592
81	-2.72976663898615
82	-2.71690681436416
83	-2.70981279402529
84	-2.70009906643712
85	-2.69560027010717
86	-2.6745018334502
87	-2.66732212176258
88	-2.65895497267945
89	-2.65288312784511
90	-2.64671335003079
91	-2.63300885348133
92	-2.62231579610635
93	-2.6146892652046
94	-2.60462053058995
95	-2.59345004994218
96	-2.58870030036383
97	-2.58131860192258
98	-2.57544262306509
99	-2.57264541229686
100	-2.5675161724205
101	-2.56070983024694
102	-2.55493790518541
103	-2.54941693338839
104	-2.54239636282302
105	-2.53488000654374
106	-2.5244868689552
107	-2.51856804442893
108	-2.50833404793928
109	-2.50251927720794
110	-2.49374815462249
111	-2.48952479482991
112	-2.47652419164567
113	-2.45833926130557
114	-2.44857656730341
115	-2.42040247296686
116	-2.35407124118189
117	-2.3471975701275
118	-2.34010354986884
119	-2.33272185148213
120	-2.3252789449843
121	-2.32186965311041
122	-2.31610996971198
123	-2.3079142034325
124	-2.29612552094563
125	-2.29351193453811
126	-2.28045624412583
127	-2.27186874593409
128	-2.26664157312271
129	-2.2620264814374
130	-2.25608317371089
131	-2.25134566580188
132	-2.24370689336071
133	-2.24045062177569
134	-2.23181415710328
135	-2.22142714041628
136	-2.177430749201
137	-2.16854945209346
138	-2.16222053327375
139	-2.15452667354946
140	-2.14814266743093
141	-2.14065691529138
142	-2.13081465082879
143	-2.12571601507272
144	-2.11526779030213
145	-2.10107362906286
146	-2.09748683368367
147	-2.08547168124683
148	-2.07655365929273
149	-2.06698683135103
150	-2.04866112255538
151	-2.04349515788635
152	-2.03792521967758
153	-2.0197525311753
154	-2.01093244221495
155	-2.00370988498303
156	-1.99261285425539
157	-1.97377911816227
158	-1.96878453621632
159	-1.96750528667388
160	-1.96162318710367
161	-1.95482908666456
162	-1.94703117318894
163	-1.93925774295953
164	-1.93366944233091
165	-1.92693042919702
166	-1.92022814093137
167	-1.9090637813021
168	-1.90763763229265
169	-1.89236008754187
170	-1.88287895099846
171	-1.87697236819484
172	-1.87337333121228
173	-1.85946684818035
174	-1.85278904316961
175	-1.83772572682909
176	-1.81559287357217
177	-1.8015700951452
178	-1.77061103218156
179	-1.75267093461337
180	-1.74009266764271
181	-1.73658544283834
182	-1.71943492992422
183	-1.71721919627907
184	-1.69059366767804
185	-1.68277739181325
186	-1.67526715650813
187	-1.66565136216228
188	-1.66131170704435
189	-1.65490321775239
190	-1.64191485645823
191	-1.63307028432528
192	-1.62873062921008
193	-1.62232213992214
194	-1.61178822391186
195	-1.60037903190773
196	-1.59474176482934
197	-1.5839874996228
198	-1.57609777404008
199	-1.56683698675943
200	-1.56592498589711
201	-1.56098549129407
202	-1.54488163714526
203	-1.53775089215117
204	-1.535106701733
205	-1.52962245494014
206	-1.52209385722315
207	-1.51976794898558
208	-1.50482704896706
209	-1.50339477915804
210	-1.49532755006343
211	-1.48516088274627
212	-1.47944404513463
213	-1.47232554177104
214	-1.46258733123806
215	-1.46092859141771
216	-1.45672359416116
217	-1.44678951767416
218	-1.44527155651055
219	-1.44296401070949
220	-1.42442407375938
221	-1.42023131812768
222	-1.41193149822109
223	-1.3845775932419
224	-1.38208030229788
225	-1.38015836760084
226	-1.37603294089464
227	-1.374031435653
