Cell Barcode	cell_angle
D5_lib8_bc1_10_bc2_89_bc3_18	144.04904
D5_lib8_bc1_10_bc2_89_bc3_8	255.30627
D5_lib8_bc1_10_bc2_90_bc3_15	152.37936
D5_lib8_bc1_10_bc2_90_bc3_73	68.917755
D5_lib8_bc1_10_bc2_92_bc3_67	34.4942
D5_lib8_bc1_10_bc2_93_bc3_50	103.03781
D5_lib8_bc1_10_bc2_93_bc3_81	81.68399
D5_lib8_bc1_10_bc2_94_bc3_31	39.733704
D5_lib8_bc1_10_bc2_95_bc3_34	275.58716
D5_lib8_bc1_10_bc2_96_bc3_45	77.75189
D5_lib8_bc1_11_bc2_12_bc3_8	250.6994
D5_lib8_bc1_11_bc2_12_bc3_80	314.1215
D5_lib8_bc1_11_bc2_12_bc3_89	154.14192
D5_lib8_bc1_11_bc2_12_bc3_94	281.694
D5_lib8_bc1_11_bc2_13_bc3_66	186.06902
D5_lib8_bc1_11_bc2_15_bc3_14	247.07825
D5_lib8_bc1_11_bc2_15_bc3_36	51.086487
D5_lib8_bc1_11_bc2_15_bc3_7	13.503723
D5_lib8_bc1_11_bc2_15_bc3_86	137.3533
D5_lib8_bc1_11_bc2_16_bc3_93	4.3640137
D5_lib8_bc1_11_bc2_17_bc3_70	227.56168
D5_lib8_bc1_11_bc2_18_bc3_52	26.436218
D5_lib8_bc1_11_bc2_18_bc3_53	273.74094
D5_lib8_bc1_11_bc2_19_bc3_17	141.08093
D5_lib8_bc1_11_bc2_19_bc3_4	129.46982
D5_lib8_bc1_11_bc2_1_bc3_58	17.641296
D5_lib8_bc1_11_bc2_21_bc3_17	103.14801
D5_lib8_bc1_11_bc2_21_bc3_72	10.140442
D5_lib8_bc1_11_bc2_21_bc3_78	113.107574
D5_lib8_bc1_11_bc2_21_bc3_86	269.4459
D5_lib8_bc1_11_bc2_22_bc3_47	101.73367
D5_lib8_bc1_11_bc2_22_bc3_54	216.7949
D5_lib8_bc1_11_bc2_23_bc3_50	27.35498
D5_lib8_bc1_11_bc2_23_bc3_72	210.87921
D5_lib8_bc1_11_bc2_25_bc3_10	339.33667
D5_lib8_bc1_11_bc2_25_bc3_36	90.42316
D5_lib8_bc1_11_bc2_26_bc3_27	315.67407
D5_lib8_bc1_11_bc2_27_bc3_54	74.489044
D5_lib8_bc1_11_bc2_28_bc3_79	118.24567
D5_lib8_bc1_11_bc2_28_bc3_82	115.619965
D5_lib8_bc1_11_bc2_29_bc3_58	215.93346
D5_lib8_bc1_11_bc2_29_bc3_79	54.44687
D5_lib8_bc1_11_bc2_2_bc3_14	103.164734
D5_lib8_bc1_11_bc2_31_bc3_47	59.357513
D5_lib8_bc1_11_bc2_31_bc3_62	28.434814
D5_lib8_bc1_11_bc2_35_bc3_16	135.34106
D5_lib8_bc1_11_bc2_35_bc3_28	262.01862
D5_lib8_bc1_11_bc2_35_bc3_41	60.201965
D5_lib8_bc1_11_bc2_35_bc3_68	288.8253
D5_lib8_bc1_11_bc2_35_bc3_76	49.790283
D5_lib8_bc1_11_bc2_36_bc3_29	127.27176
D5_lib8_bc1_11_bc2_36_bc3_4	243.61324
D5_lib8_bc1_11_bc2_37_bc3_31	304.52142
D5_lib8_bc1_11_bc2_37_bc3_41	284.87067
D5_lib8_bc1_11_bc2_37_bc3_96	100.27344
D5_lib8_bc1_11_bc2_38_bc3_53	26.00116
D5_lib8_bc1_11_bc2_39_bc3_4	281.16132
D5_lib8_bc1_11_bc2_39_bc3_73	12.647644
D5_lib8_bc1_11_bc2_39_bc3_95	214.09311
D5_lib8_bc1_11_bc2_3_bc3_5	25.436707
D5_lib8_bc1_11_bc2_3_bc3_76	260.75928
D5_lib8_bc1_11_bc2_40_bc3_66	45.310425
D5_lib8_bc1_11_bc2_40_bc3_75	210.38838
D5_lib8_bc1_11_bc2_41_bc3_96	309.7013
D5_lib8_bc1_11_bc2_42_bc3_12	280.0539
D5_lib8_bc1_11_bc2_42_bc3_62	35.51532
D5_lib8_bc1_11_bc2_42_bc3_96	249.25528
D5_lib8_bc1_11_bc2_43_bc3_22	271.50555
D5_lib8_bc1_11_bc2_43_bc3_9	50.561646
D5_lib8_bc1_11_bc2_44_bc3_24	38.826508
D5_lib8_bc1_11_bc2_44_bc3_89	115.676636
D5_lib8_bc1_11_bc2_46_bc3_35	111.66391
D5_lib8_bc1_11_bc2_46_bc3_45	154.94151
D5_lib8_bc1_11_bc2_46_bc3_77	52.62036
D5_lib8_bc1_11_bc2_46_bc3_89	9.05777
D5_lib8_bc1_11_bc2_47_bc3_34	168.75105
D5_lib8_bc1_11_bc2_47_bc3_64	24.340637
D5_lib8_bc1_11_bc2_49_bc3_17	50.464508
D5_lib8_bc1_11_bc2_49_bc3_71	288.13736
D5_lib8_bc1_11_bc2_4_bc3_11	8.389343
D5_lib8_bc1_11_bc2_4_bc3_14	302.8153
D5_lib8_bc1_11_bc2_4_bc3_24	42.89325
D5_lib8_bc1_11_bc2_4_bc3_52	291.8847
D5_lib8_bc1_11_bc2_4_bc3_60	142.60118
D5_lib8_bc1_11_bc2_4_bc3_72	92.86304
D5_lib8_bc1_11_bc2_4_bc3_94	277.05154
D5_lib8_bc1_11_bc2_50_bc3_41	338.86108
D5_lib8_bc1_11_bc2_51_bc3_45	44.874878
D5_lib8_bc1_11_bc2_51_bc3_66	285.65305
D5_lib8_bc1_11_bc2_51_bc3_67	183.82553
D5_lib8_bc1_11_bc2_53_bc3_25	343.20923
D5_lib8_bc1_11_bc2_53_bc3_55	206.72166
D5_lib8_bc1_11_bc2_53_bc3_56	48.798798
D5_lib8_bc1_11_bc2_54_bc3_3	274.9917
D5_lib8_bc1_11_bc2_54_bc3_86	206.28271
D5_lib8_bc1_11_bc2_54_bc3_9	204.7289
D5_lib8_bc1_11_bc2_56_bc3_13	315.3427
D5_lib8_bc1_11_bc2_56_bc3_24	310.47736
D5_lib8_bc1_11_bc2_56_bc3_46	269.14307
D5_lib8_bc1_11_bc2_56_bc3_67	7.6431885
D5_lib8_bc1_11_bc2_57_bc3_69	115.31749
D5_lib8_bc1_11_bc2_58_bc3_45	27.573029
D5_lib8_bc1_11_bc2_58_bc3_92	151.47945
D5_lib8_bc1_11_bc2_59_bc3_14	249.65771
D5_lib8_bc1_11_bc2_59_bc3_75	141.46848
D5_lib8_bc1_11_bc2_5_bc3_38	277.4071
D5_lib8_bc1_11_bc2_5_bc3_5	285.24414
D5_lib8_bc1_11_bc2_61_bc3_79	130.63535
D5_lib8_bc1_11_bc2_62_bc3_13	278.02155
D5_lib8_bc1_11_bc2_62_bc3_62	263.96216
D5_lib8_bc1_11_bc2_63_bc3_40	320.20523
D5_lib8_bc1_11_bc2_63_bc3_55	18.340607
D5_lib8_bc1_11_bc2_64_bc3_1	63.772217
D5_lib8_bc1_11_bc2_65_bc3_44	230.34676
D5_lib8_bc1_11_bc2_65_bc3_64	70.83319
