Cell Barcode	UMAP-1	UMAP-2
D5_lib8_bc1_10_bc2_6_bc3_49	2.2380152	-1.022826
D5_lib8_bc1_10_bc2_6_bc3_68	5.5212965	-0.4441347
D5_lib8_bc1_10_bc2_71_bc3_92	-2.4719532	4.519181
D5_lib8_bc1_10_bc2_72_bc3_15	1.2356558	-2.0756466
D5_lib8_bc1_10_bc2_72_bc3_86	-2.2672296	-1.0731153
D5_lib8_bc1_10_bc2_73_bc3_81	3.7399426	3.4272933
D5_lib8_bc1_10_bc2_74_bc3_13	-2.616125	-4.910119
D5_lib8_bc1_10_bc2_74_bc3_33	5.541046	-2.355353
D5_lib8_bc1_10_bc2_74_bc3_86	-2.1383765	-3.4231083
D5_lib8_bc1_10_bc2_75_bc3_29	3.886382	3.071485
D5_lib8_bc1_10_bc2_77_bc3_29	0.51088333	-2.9671154
D5_lib8_bc1_10_bc2_78_bc3_29	-5.272728	2.092146
D5_lib8_bc1_10_bc2_7_bc3_8	3.439537	0.8306804
D5_lib8_bc1_10_bc2_80_bc3_31	-2.9845917	-0.65979385
D5_lib8_bc1_10_bc2_80_bc3_96	0.18793821	-5.0483055
D5_lib8_bc1_10_bc2_82_bc3_34	-2.5782301	-4.47073
D5_lib8_bc1_10_bc2_83_bc3_72	-1.3216357	0.78380585
D5_lib8_bc1_10_bc2_83_bc3_90	-0.86123514	-4.209962
D5_lib8_bc1_10_bc2_84_bc3_86	2.9619522	-2.0323102
D5_lib8_bc1_10_bc2_84_bc3_89	5.4918404	-0.2942152
D5_lib8_bc1_10_bc2_87_bc3_68	-6.305099	-1.0261152
D5_lib8_bc1_10_bc2_88_bc3_87	2.2585893	4.630176
D5_lib8_bc1_10_bc2_89_bc3_18	2.9715395	4.097345
D5_lib8_bc1_10_bc2_89_bc3_8	-4.7619705	1.2487221
D5_lib8_bc1_10_bc2_90_bc3_15	3.1267862	5.9757485
D5_lib8_bc1_10_bc2_90_bc3_73	3.5436735	-1.3661282
D5_lib8_bc1_10_bc2_92_bc3_67	3.3531885	-4.879981
D5_lib8_bc1_10_bc2_93_bc3_50	4.6185055	1.0694776
D5_lib8_bc1_10_bc2_93_bc3_81	2.8034167	-0.4097743
D5_lib8_bc1_10_bc2_94_bc3_31	2.5169826	-3.0280952
D5_lib8_bc1_10_bc2_95_bc3_34	-5.2135096	-0.51000786
D5_lib8_bc1_10_bc2_96_bc3_45	4.9790726	-1.0808909
D5_lib8_bc1_11_bc2_12_bc3_8	-5.337135	1.8691015
D5_lib8_bc1_11_bc2_12_bc3_80	-3.538042	-3.4311748
D5_lib8_bc1_11_bc2_12_bc3_89	2.399848	4.951508
D5_lib8_bc1_11_bc2_12_bc3_94	-4.7706027	-0.9874227
D5_lib8_bc1_11_bc2_13_bc3_66	-0.57809544	5.4372
D5_lib8_bc1_11_bc2_15_bc3_14	-4.7282705	1.9994164
D5_lib8_bc1_11_bc2_15_bc3_36	4.281066	-3.4560504
D5_lib8_bc1_11_bc2_15_bc3_7	0.9455595	-3.937413
D5_lib8_bc1_11_bc2_15_bc3_86	3.7218552	4.040871
D5_lib8_bc1_11_bc2_16_bc3_93	0.15549135	-2.0375118
D5_lib8_bc1_11_bc2_17_bc3_70	-3.5326762	3.2301126
D5_lib8_bc1_11_bc2_18_bc3_52	1.4528813	-2.9221733
D5_lib8_bc1_11_bc2_18_bc3_53	-2.7573445	-0.18028784
D5_lib8_bc1_11_bc2_19_bc3_17	2.3507361	2.911316
D5_lib8_bc1_11_bc2_19_bc3_4	4.2304096	3.483539
D5_lib8_bc1_11_bc2_1_bc3_58	1.6563401	-5.2084246
D5_lib8_bc1_11_bc2_21_bc3_17	5.915309	1.3817611
D5_lib8_bc1_11_bc2_21_bc3_72	0.5595622	-3.1285784
D5_lib8_bc1_11_bc2_21_bc3_78	5.2519283	2.2409582
D5_lib8_bc1_11_bc2_21_bc3_86	-6.856623	0.06631231
D5_lib8_bc1_11_bc2_22_bc3_47	4.9357004	1.0251594
D5_lib8_bc1_11_bc2_22_bc3_54	-2.1751556	2.9081297
D5_lib8_bc1_11_bc2_23_bc3_50	2.5567884	-4.9420476
D5_lib8_bc1_11_bc2_23_bc3_72	-2.9659064	4.9597507
D5_lib8_bc1_11_bc2_25_bc3_10	-1.9768641	-5.2417583
D5_lib8_bc1_11_bc2_25_bc3_36	4.572649	0.033771515
D5_lib8_bc1_11_bc2_26_bc3_27	-3.8960447	-3.988814
D5_lib8_bc1_11_bc2_27_bc3_54	4.299741	-1.1933098
D5_lib8_bc1_11_bc2_28_bc3_79	2.4765482	1.3304558
D5_lib8_bc1_11_bc2_28_bc3_82	5.0972385	2.4443707
D5_lib8_bc1_11_bc2_29_bc3_58	-2.0204208	2.7876735
D5_lib8_bc1_11_bc2_29_bc3_79	3.5502224	-2.5373192
D5_lib8_bc1_11_bc2_2_bc3_14	5.1619864	1.2073803
D5_lib8_bc1_11_bc2_31_bc3_47	4.5795145	-2.7129023
D5_lib8_bc1_11_bc2_31_bc3_62	2.863068	-5.287453
D5_lib8_bc1_11_bc2_35_bc3_16	2.984065	3.0198045
D5_lib8_bc1_11_bc2_35_bc3_28	-5.9980836	0.8409867
D5_lib8_bc1_11_bc2_35_bc3_41	3.9490557	-2.2614639
D5_lib8_bc1_11_bc2_35_bc3_68	-6.5678825	-2.239124
D5_lib8_bc1_11_bc2_35_bc3_76	4.9597263	-4.192735
D5_lib8_bc1_11_bc2_36_bc3_29	4.742975	3.609486
D5_lib8_bc1_11_bc2_36_bc3_4	-4.309904	2.138214
D5_lib8_bc1_11_bc2_37_bc3_31	-4.1000896	-2.8201716
D5_lib8_bc1_11_bc2_37_bc3_41	-6.706741	-1.7808495
D5_lib8_bc1_11_bc2_37_bc3_96	3.933527	0.7129593
D5_lib8_bc1_11_bc2_38_bc3_53	2.4204721	-4.9624443
D5_lib8_bc1_11_bc2_39_bc3_4	-6.4360876	-1.2698634
D5_lib8_bc1_11_bc2_39_bc3_73	1.0087981	-4.4955335
D5_lib8_bc1_11_bc2_39_bc3_95	-3.136578	4.633906
D5_lib8_bc1_11_bc2_3_bc3_5	2.5167742	-5.29156
D5_lib8_bc1_11_bc2_3_bc3_76	-5.953189	0.9685497
D5_lib8_bc1_11_bc2_40_bc3_66	3.6391506	-3.5999303
D5_lib8_bc1_11_bc2_40_bc3_75	-2.7546477	4.6973653
D5_lib8_bc1_11_bc2_41_bc3_96	-4.5199537	-3.7527094
D5_lib8_bc1_11_bc2_42_bc3_12	-4.9778166	-0.88255167
D5_lib8_bc1_11_bc2_42_bc3_62	2.5905352	-3.6297436
D5_lib8_bc1_11_bc2_42_bc3_96	-4.743531	1.7966628
D5_lib8_bc1_11_bc2_43_bc3_22	-6.51891	-0.17133474
D5_lib8_bc1_11_bc2_43_bc3_9	4.5175524	-3.7158241
D5_lib8_bc1_11_bc2_44_bc3_24	3.2632256	-4.054792
D5_lib8_bc1_11_bc2_44_bc3_89	5.0913305	2.4477339
D5_lib8_bc1_11_bc2_46_bc3_35	2.7196121	1.0802813
