Genes	Promoters - promoters upstream of gene	Regulation - transcription units of gene	Transcription Units	Regulation - transcription factor regulators of gene	Accession-1
EG12124	PM0-9577	TU0-14415 // TU0-3581	TU0-14415 // TU0-3581	PD00288 // CPLX0-228 // PROTEIN-NRIP // PD00353 // PHOSPHO-ARCA	b2309
EG11269	PM0-7141 // PM0-7141	TU0-42511 // TU00285	TU0-42511 // TU00285	CPLX0-228	b2018
EG10007		TU0-14415 // TU0-3581	TU0-14415 // TU0-3581	PD00288 // CPLX0-228 // PROTEIN-NRIP // PD00353 // PHOSPHO-ARCA	b2307
EG10452		TU0-14415 // TU0-3581	TU0-14415 // TU0-3581	PD00288 // CPLX0-228 // PROTEIN-NRIP // PD00353 // PHOSPHO-ARCA	b2306
EG12125		TU0-14415 // TU0-3581	TU0-14415 // TU0-3581	PD00288 // CPLX0-228 // PROTEIN-NRIP // PD00353 // PHOSPHO-ARCA	b2308
EG30042		TU00503	TU00503	CPLX0-7705	b3797
EG10453	PM00414	TU0-6506	TU0-6506		b2514
G7058	PM0-45171	TU0-13468	TU0-13468	MONOMER0-4341 // MONOMER0-4180 // PHOSPHO-PHOB	b1970
G7590		TU0-13846	TU0-13846		b3052
G6619	PM681	TU581	TU581	CPLX0-7705 // CPLX0-226 // CPLX0-7797 // CPLX0-8563 // PD00288 // PD00353	b1182
EG10456	PM00415	TU681	TU681	CPLX0-7759 // CPLX0-7639 // CPLX0-7797 // CPLX0-7756	b2552
EG10457	PM00191	TU00139	TU00139	PD00288 // PD03695 // CPLX0-7705 // EG12243-MONOMER	b1237
EG12106		TU0-12811	TU0-12811	CPLX0-226 // G7072-MONOMER	b0107
EG11798		TU0-12811	TU0-12811	CPLX0-226 // G7072-MONOMER	b0106
G7739	PM0-10365	TU0-13927	TU0-13927	CPLX0-226	b3395
G7738		TU0-13927	TU0-13927	CPLX0-226	b3394
G7737		TU0-13927	TU0-13927	CPLX0-226	b3393
G7736		TU0-13927	TU0-13927	CPLX0-226	b3392
EG12113		TU0-13926	TU0-13926		b3391
G0-9613		TU0-8810	TU0-8810		b4455
G0-9610		TU0-13255	TU0-13255		b4428
G0-9563		TU0-12794	TU0-12794		b4412
EG11130		TU0-14381 // TU0-13324	TU0-14381 // TU0-13324	CPLX0-7791 // CPLX0-7928	b1562
G0-9582	PM0-10246	TU0-8266	TU0-8266	PC00010	b4415
EG11412		TU0-13010	TU0-13010	G7072-MONOMER	b0640
EG11500		TU0-13135	TU0-13135	G7072-MONOMER	b1099
EG11413	PM0-9727	TU0-14474 // TU0-14322	TU0-14474 // TU0-14322		b4259
EG11414	PM0-10195	TU0-14216	TU0-14216		b4372
EG11505		TU0-13433	TU0-13433	G7072-MONOMER	b1842
EG11681		TU-8398 // TU00487	TU-8398 // TU00487	PD00353	b3203
G7057		TU0-13467	TU0-13467	G7072-MONOMER	b1969
G7056		TU0-13467	TU0-13467	G7072-MONOMER	b1968
EG20098	PM0-2221	TU0-2041	TU0-2041	PC00027 // CPLX0-226	b0125
G6732		TU0-13251	TU0-13251		b1413
EG12329		TU0-12819	TU0-12819		b0148
