gene	angle_pred
0	-2.50806764252583
1	-2.50523267127486
2	-2.50444632888412
3	-2.4917820777515
4	-2.48407385300393
5	-2.48292020594454
6	-2.47239252986624
7	-2.47018352854702
8	-2.46237183770033
9	-2.45725026555675
10	-2.45199418747888
11	-2.44716749373288
12	-2.43482916084821
13	-2.43113024763626
14	-2.40244427036244
15	-2.40200453942155
16	-2.39677950118311
17	-2.39616387786596
18	-2.38642254420189
19	-2.38363930601266
20	-2.37487572703164
21	-2.37341168166489
22	-2.36826941631362
23	-2.35868328181271
24	-2.34580692522063
25	-2.34503092944383
26	-2.33549652800103
27	-2.33102679232824
28	-2.31265121234605
29	-2.30540341179828
30	-2.30472570882065
31	-2.30229425538959
32	-2.30133202062755
33	-2.29357723617533
34	-2.2878090009101
35	-2.28210801861301
36	-2.27627770368763
37	-2.26974899256558
38	-2.26413078315406
39	-2.25968691401611
40	-2.25617423980851
41	-2.25031805836156
42	-2.24386694682173
43	-2.23830047046593
44	-2.23129064197079
45	-2.22647429486533
46	-2.2187764167862
47	-2.21808319389475
48	-2.21758138329423
49	-2.21691402692859
50	-2.21576037987796
51	-2.19778831775765
52	-2.19028702528063
53	-2.18416183197642
54	-2.18021977344842
55	-2.17536721321376
56	-2.17336514411927
57	-2.15941274012277
58	-2.15833151934611
59	-2.15593627906108
60	-2.15469468582485
61	-2.15044740229621
62	-2.1468053954706
63	-2.14217011405672
64	-2.13803146993768
65	-2.12129582778618
66	-2.12021978031581
67	-2.11311683235113
68	-2.11107855012409
69	-2.10598284455699
70	-2.1032978991874
71	-2.10244430383873
72	-2.09726065208543
73	-2.08746758545171
74	-2.08073194215842
75	-2.08015770528786
76	-2.07482920099383
77	-2.07029738569196
78	-2.06129583475156
79	-2.06006976143399
80	-2.0439497426296
81	-2.04259433668424
82	-2.0379280154529
83	-2.03005424503951
84	-2.02607597339239
85	-2.02296164370275
86	-2.01406873218181
87	-2.01265641988112
88	-2.00997664782357
89	-2.00574488422729
90	-1.99919030662863
91	-1.99832636467215
92	-1.99036464808013
93	-1.97875057807084
94	-1.96737448010095
95	-1.96639155212736
96	-1.95950588300787
97	-1.95612771476264
98	-1.94855916936903
99	-1.91325136193133
100	-1.91032327123545
101	-1.90996113987732
102	-1.90817117630718
103	-1.90298235127631
104	-1.89894199998159
105	-1.88651054779331
106	-1.88462746473228
107	-1.86945416084015
108	-1.86497407861474
109	-1.86357211293
110	-1.86196321504093
111	-1.85835224807473
112	-1.84162695266133
113	-1.83613807594363
114	-1.82736932379027
115	-1.8254396809863
116	-1.81488613857491
117	-1.81117170551122
118	-1.80557418939088
119	-1.76921102784943
120	-1.74612256721053
121	-1.74131139347398
122	-1.73673819177229
123	-1.73367042185279
124	-1.72917481972839
125	-1.72692960531894
126	-1.70737968538605
127	-1.70411015657053
128	-1.69945935529704
129	-1.68361352181891
130	-1.68260990063246
131	-1.67750902181931
132	-1.60607602528672
133	-1.60152351682162
134	-1.59566733547868
135	-1.58452920965841
136	-1.58093376263398
137	-1.58015776687336
138	-1.57680029188257
139	-1.57119760249182
140	-1.56456542539321
141	-1.55889548303837
142	-1.55073718094714
143	-1.54707965426508
144	-1.54655715045339
145	-1.54318415555034
146	-1.54149765809893
147	-1.53539833142711
148	-1.52967148272085
149	-1.52117174250167
150	-1.51668131370739
151	-1.514482659056
152	-1.51026641543074
153	-1.50499481757356
154	-1.49776253709941
155	-1.49496895236727
156	-1.48952663544524
157	-1.48374805369521
158	-1.47157009359098
159	-1.47051991266458
160	-1.46596223091045
161	-1.46337040507775
162	-1.46193739957751
163	-1.4559208457991
164	-1.44153388444624
165	-1.4352276255881
166	-1.4234687032081
167	-1.38266684630149
168	-1.36030782190588
169	-1.35023022368638
170	-1.33557425051036
171	-1.32652613999954
172	-1.32572945102384
173	-1.32049406632681
174	-1.31616401001171
175	-1.3076797897541
176	-1.29578118817637
177	-1.29434818268225
178	-1.29070617593931
179	-1.28295139169657
180	-1.28104244214005
181	-1.27178739944049
182	-1.23749356041214
183	-1.23219092276142
184	-1.22213401779458
185	-1.22026128137613
186	-1.21982672375419
187	-1.21878688944455
188	-1.21836785173769
189	-1.21738492378334
190	-1.21006987048173
191	-1.20807814804835
192	-1.20443614131329
193	-1.20220127354421
194	-1.19642269183632
195	-1.19350494780508
196	-1.18996123386671
197	-1.16872481676815
198	-1.14577603572125
199	-1.14214954890688
200	-1.13500521468436
201	-1.13103728974017
202	-1.12616920972444
203	-1.1229203741776
204	-1.11311696118355
205	-1.10944908793203
206	-1.10895762395618
207	-1.10475172698417
208	-1.09919559740557
209	-1.09550185763028
210	-1.0914821996399
211	-1.09000780771302
212	-1.08297211290482
213	-1.07576052572768
214	-1.06225302636273
215	-1.05397056505385
216	-1.02447237994367
217	-1.01987331180055
218	-1.01906110291594
219	-1.01286348352943
220	-1.00442582308068
221	-0.996733118552885
