Cell Barcode	cell_angle
D1_lib8_bc1_10_bc2_67_bc3_94	266.27905
D1_lib8_bc1_10_bc2_68_bc3_21	275.73105
D1_lib8_bc1_10_bc2_68_bc3_34	244.65045
D1_lib8_bc1_10_bc2_68_bc3_82	102.78051
D1_lib8_bc1_10_bc2_69_bc3_3	184.15489
D1_lib8_bc1_10_bc2_69_bc3_38	118.381744
D1_lib8_bc1_10_bc2_69_bc3_39	141.45032
D1_lib8_bc1_10_bc2_69_bc3_70	39.285736
D1_lib8_bc1_10_bc2_6_bc3_22	157.44717
D1_lib8_bc1_10_bc2_6_bc3_79	316.4756
D1_lib8_bc1_10_bc2_6_bc3_81	104.58312
D1_lib8_bc1_10_bc2_70_bc3_38	183.70859
D1_lib8_bc1_10_bc2_70_bc3_57	348.97504
D1_lib8_bc1_10_bc2_70_bc3_75	96.523834
D1_lib8_bc1_10_bc2_70_bc3_76	359.1208
D1_lib8_bc1_10_bc2_72_bc3_28	76.543785
D1_lib8_bc1_10_bc2_72_bc3_60	62.923477
D1_lib8_bc1_10_bc2_72_bc3_79	30.706863
D1_lib8_bc1_10_bc2_73_bc3_23	285.94824
D1_lib8_bc1_10_bc2_73_bc3_52	226.01862
D1_lib8_bc1_10_bc2_74_bc3_46	78.35202
D1_lib8_bc1_10_bc2_76_bc3_65	78.41361
D1_lib8_bc1_10_bc2_78_bc3_2	321.24506
D1_lib8_bc1_10_bc2_78_bc3_26	21.473663
D1_lib8_bc1_10_bc2_78_bc3_89	320.66174
D1_lib8_bc1_10_bc2_79_bc3_45	253.15042
D1_lib8_bc1_10_bc2_79_bc3_5	156.48198
D1_lib8_bc1_10_bc2_7_bc3_20	5.083618
D1_lib8_bc1_10_bc2_7_bc3_52	260.96075
D1_lib8_bc1_10_bc2_7_bc3_56	144.88217
D1_lib8_bc1_10_bc2_7_bc3_63	133.56384
D1_lib8_bc1_10_bc2_80_bc3_7	28.966263
D1_lib8_bc1_10_bc2_80_bc3_90	310.2352
D1_lib8_bc1_10_bc2_81_bc3_51	149.26271
D1_lib8_bc1_10_bc2_81_bc3_9	89.33221
D1_lib8_bc1_10_bc2_83_bc3_45	47.459534
D1_lib8_bc1_10_bc2_83_bc3_62	100.4971
D1_lib8_bc1_10_bc2_85_bc3_76	56.62934
D1_lib8_bc1_10_bc2_87_bc3_1	64.466995
D1_lib8_bc1_10_bc2_87_bc3_28	155.43405
D1_lib8_bc1_10_bc2_87_bc3_65	137.77219
D1_lib8_bc1_10_bc2_87_bc3_68	311.23035
D1_lib8_bc1_10_bc2_87_bc3_82	126.00862
D1_lib8_bc1_10_bc2_87_bc3_91	20.617264
D1_lib8_bc1_10_bc2_88_bc3_48	309.96942
D1_lib8_bc1_10_bc2_89_bc3_16	340.09277
D1_lib8_bc1_10_bc2_8_bc3_36	235.33728
D1_lib8_bc1_10_bc2_8_bc3_42	329.1333
D1_lib8_bc1_10_bc2_8_bc3_75	46.95215
D1_lib8_bc1_10_bc2_90_bc3_26	56.610146
D1_lib8_bc1_10_bc2_90_bc3_71	8.10614
D1_lib8_bc1_10_bc2_91_bc3_26	0.32754517
D1_lib8_bc1_10_bc2_91_bc3_67	89.44654
D1_lib8_bc1_10_bc2_91_bc3_88	213.4947
D1_lib8_bc1_10_bc2_92_bc3_39	302.66016
D1_lib8_bc1_10_bc2_93_bc3_21	108.59569
D1_lib8_bc1_10_bc2_93_bc3_66	303.996
D1_lib8_bc1_10_bc2_93_bc3_87	351.0636
D1_lib8_bc1_10_bc2_93_bc3_95	359.8172
D1_lib8_bc1_10_bc2_93_bc3_96	186.00414
D1_lib8_bc1_10_bc2_95_bc3_88	144.85811
D1_lib8_bc1_10_bc2_95_bc3_9	196.25414
D1_lib8_bc1_10_bc2_96_bc3_27	183.00488
D1_lib8_bc1_10_bc2_96_bc3_39	324.98096
D1_lib8_bc1_10_bc2_96_bc3_55	299.66455
D1_lib8_bc1_10_bc2_9_bc3_33	321.3902
D1_lib8_bc1_11_bc2_10_bc3_22	127.70358
D1_lib8_bc1_11_bc2_10_bc3_80	209.8307
D1_lib8_bc1_11_bc2_11_bc3_46	260.87305
D1_lib8_bc1_11_bc2_12_bc3_10	30.307693
D1_lib8_bc1_11_bc2_12_bc3_46	122.94701
D1_lib8_bc1_11_bc2_12_bc3_75	101.29236
D1_lib8_bc1_11_bc2_12_bc3_78	295.39154
D1_lib8_bc1_11_bc2_14_bc3_18	213.17152
D1_lib8_bc1_11_bc2_14_bc3_28	138.01086
D1_lib8_bc1_11_bc2_14_bc3_82	8.914719
D1_lib8_bc1_11_bc2_16_bc3_75	335.86075
D1_lib8_bc1_11_bc2_16_bc3_91	19.263428
D1_lib8_bc1_11_bc2_17_bc3_12	147.9444
D1_lib8_bc1_11_bc2_18_bc3_57	202.8264
D1_lib8_bc1_11_bc2_18_bc3_77	41.01039
D1_lib8_bc1_11_bc2_18_bc3_79	277.76144
D1_lib8_bc1_11_bc2_19_bc3_6	303.88983
D1_lib8_bc1_11_bc2_19_bc3_87	307.9615
D1_lib8_bc1_11_bc2_20_bc3_56	310.24567
D1_lib8_bc1_11_bc2_20_bc3_7	149.72021
D1_lib8_bc1_11_bc2_21_bc3_36	251.27487
D1_lib8_bc1_11_bc2_21_bc3_55	228.0531
D1_lib8_bc1_11_bc2_21_bc3_77	232.04836
D1_lib8_bc1_11_bc2_22_bc3_17	149.8929
D1_lib8_bc1_11_bc2_22_bc3_87	324.3318
D1_lib8_bc1_11_bc2_23_bc3_24	159.1745
D1_lib8_bc1_11_bc2_23_bc3_93	96.187454
D1_lib8_bc1_11_bc2_24_bc3_11	145.91647
D1_lib8_bc1_11_bc2_24_bc3_19	324.2803
D1_lib8_bc1_11_bc2_24_bc3_46	16.538025
D1_lib8_bc1_11_bc2_24_bc3_51	237.82904
D1_lib8_bc1_11_bc2_24_bc3_61	312.26575
D1_lib8_bc1_11_bc2_25_bc3_23	113.68841
D1_lib8_bc1_11_bc2_25_bc3_68	101.9151
D1_lib8_bc1_11_bc2_26_bc3_10	198.83289
D1_lib8_bc1_11_bc2_27_bc3_56	352.98584
D1_lib8_bc1_11_bc2_27_bc3_65	312.96533
D1_lib8_bc1_11_bc2_27_bc3_90	1.9783936
D1_lib8_bc1_11_bc2_28_bc3_39	356.60193
D1_lib8_bc1_11_bc2_29_bc3_79	241.19449
D1_lib8_bc1_11_bc2_2_bc3_47	327.68915
D1_lib8_bc1_11_bc2_31_bc3_5	124.51212
D1_lib8_bc1_11_bc2_31_bc3_61	193.5133
D1_lib8_bc1_11_bc2_32_bc3_88	299.43112
D1_lib8_bc1_11_bc2_33_bc3_20	229.11719
D1_lib8_bc1_11_bc2_33_bc3_71	45.180252
D1_lib8_bc1_11_bc2_34_bc3_34	337.7988
D1_lib8_bc1_11_bc2_34_bc3_39	344.02258
D1_lib8_bc1_11_bc2_34_bc3_65	123.252106
D1_lib8_bc1_11_bc2_34_bc3_71	208.79926
D1_lib8_bc1_11_bc2_35_bc3_18	5.4176483
D1_lib8_bc1_11_bc2_35_bc3_56	78.609215
D1_lib8_bc1_11_bc2_36_bc3_18	152.4248
D1_lib8_bc1_11_bc2_36_bc3_35	337.69647
D1_lib8_bc1_11_bc2_36_bc3_51	272.54224
D1_lib8_bc1_11_bc2_36_bc3_88	268.72556
D1_lib8_bc1_11_bc2_37_bc3_82	130.06328
D1_lib8_bc1_11_bc2_38_bc3_15	175.70578
D1_lib8_bc1_11_bc2_38_bc3_20	30.782852
D1_lib8_bc1_11_bc2_38_bc3_21	152.64136
D1_lib8_bc1_11_bc2_38_bc3_32	356.0929
D1_lib8_bc1_11_bc2_39_bc3_10	72.228874
D1_lib8_bc1_11_bc2_40_bc3_29	220.0294
D1_lib8_bc1_11_bc2_40_bc3_60	9.5961
D1_lib8_bc1_11_bc2_40_bc3_8	38.90909
D1_lib8_bc1_11_bc2_42_bc3_29	277.78806
D1_lib8_bc1_11_bc2_43_bc3_20	318.3142
D1_lib8_bc1_11_bc2_45_bc3_17	200.32779
D1_lib8_bc1_11_bc2_45_bc3_26	223.40031
D1_lib8_bc1_11_bc2_46_bc3_15	3.1455688
D1_lib8_bc1_11_bc2_46_bc3_53	5.2731934
D1_lib8_bc1_11_bc2_46_bc3_65	286.16467
D1_lib8_bc1_11_bc2_46_bc3_76	321.13602
D1_lib8_bc1_11_bc2_47_bc3_77	326.0611
D1_lib8_bc1_11_bc2_47_bc3_78	14.821838
D1_lib8_bc1_11_bc2_48_bc3_94	136.2307
D1_lib8_bc1_11_bc2_4_bc3_3	185.1066
D1_lib8_bc1_11_bc2_4_bc3_68	115.96287
D1_lib8_bc1_11_bc2_50_bc3_31	346.4032
D1_lib8_bc1_11_bc2_50_bc3_74	102.99367
D1_lib8_bc1_11_bc2_51_bc3_32	312.77155
D1_lib8_bc1_11_bc2_53_bc3_3	176.90063
D1_lib8_bc1_11_bc2_54_bc3_14	66.3945
D1_lib8_bc1_11_bc2_55_bc3_58	359.6604
D1_lib8_bc1_11_bc2_55_bc3_63	310.58832
D1_lib8_bc1_11_bc2_55_bc3_73	170.26445
D1_lib8_bc1_11_bc2_56_bc3_44	113.04972
D1_lib8_bc1_11_bc2_57_bc3_51	359.1125
D1_lib8_bc1_11_bc2_58_bc3_47	347.74866
D1_lib8_bc1_11_bc2_58_bc3_62	116.21205
D1_lib8_bc1_11_bc2_58_bc3_95	100.32214
D1_lib8_bc1_11_bc2_59_bc3_22	268.3355
D1_lib8_bc1_11_bc2_59_bc3_85	323.3322
D1_lib8_bc1_11_bc2_5_bc3_18	146.59058
D1_lib8_bc1_11_bc2_5_bc3_26	169.74092
D1_lib8_bc1_11_bc2_5_bc3_52	226.71275
D1_lib8_bc1_11_bc2_60_bc3_57	127.4024
D1_lib8_bc1_11_bc2_62_bc3_35	268.07874
D1_lib8_bc1_11_bc2_62_bc3_52	110.91764
D1_lib8_bc1_11_bc2_63_bc3_41	148.92729
D1_lib8_bc1_11_bc2_64_bc3_12	152.15326
D1_lib8_bc1_11_bc2_64_bc3_79	319.3955
D1_lib8_bc1_11_bc2_65_bc3_71	9.178574
D1_lib8_bc1_11_bc2_66_bc3_50	204.7767
D1_lib8_bc1_11_bc2_67_bc3_36	166.27432
D1_lib8_bc1_11_bc2_67_bc3_70	332.84784
D1_lib8_bc1_11_bc2_68_bc3_21	56.19143
D1_lib8_bc1_11_bc2_68_bc3_25	61.70642
D1_lib8_bc1_11_bc2_68_bc3_55	94.12176
D1_lib8_bc1_11_bc2_69_bc3_26	277.40714
D1_lib8_bc1_11_bc2_6_bc3_66	355.1576
D1_lib8_bc1_11_bc2_6_bc3_88	120.08589
D1_lib8_bc1_11_bc2_70_bc3_15	270.9916
D1_lib8_bc1_11_bc2_70_bc3_20	75.41916
D1_lib8_bc1_11_bc2_70_bc3_83	291.5242
D1_lib8_bc1_11_bc2_72_bc3_24	289.03656
D1_lib8_bc1_11_bc2_72_bc3_51	57.203644
D1_lib8_bc1_11_bc2_72_bc3_92	91.25181
D1_lib8_bc1_11_bc2_74_bc3_44	99.7887
D1_lib8_bc1_11_bc2_74_bc3_5	198.79564
D1_lib8_bc1_11_bc2_74_bc3_51	88.783775
D1_lib8_bc1_11_bc2_74_bc3_60	67.38517
D1_lib8_bc1_11_bc2_75_bc3_25	107.950195
D1_lib8_bc1_11_bc2_75_bc3_35	356.7469
D1_lib8_bc1_11_bc2_76_bc3_73	33.820328
D1_lib8_bc1_11_bc2_77_bc3_47	12.862213
D1_lib8_bc1_11_bc2_77_bc3_55	127.53464
D1_lib8_bc1_11_bc2_77_bc3_68	73.44749
D1_lib8_bc1_11_bc2_77_bc3_76	318.195
D1_lib8_bc1_11_bc2_77_bc3_87	334.6948
D1_lib8_bc1_11_bc2_77_bc3_93	276.06042
D1_lib8_bc1_11_bc2_78_bc3_54	36.946182
D1_lib8_bc1_11_bc2_79_bc3_16	259.4921
D1_lib8_bc1_11_bc2_79_bc3_32	119.92009
D1_lib8_bc1_11_bc2_79_bc3_94	248.72806
D1_lib8_bc1_11_bc2_7_bc3_16	182.2081
D1_lib8_bc1_11_bc2_7_bc3_53	68.40475
D1_lib8_bc1_11_bc2_80_bc3_78	205.52946
D1_lib8_bc1_11_bc2_80_bc3_8	186.76419
D1_lib8_bc1_11_bc2_81_bc3_17	315.9352
D1_lib8_bc1_11_bc2_81_bc3_62	41.317123
D1_lib8_bc1_11_bc2_81_bc3_67	98.57306
D1_lib8_bc1_11_bc2_82_bc3_14	90.62614
D1_lib8_bc1_11_bc2_82_bc3_18	8.555786
D1_lib8_bc1_11_bc2_82_bc3_72	201.93172
D1_lib8_bc1_11_bc2_82_bc3_88	311.25833
D1_lib8_bc1_11_bc2_87_bc3_40	160.99109
D1_lib8_bc1_11_bc2_89_bc3_44	322.85953
D1_lib8_bc1_11_bc2_89_bc3_58	171.8982
D1_lib8_bc1_11_bc2_89_bc3_61	33.711136
D1_lib8_bc1_11_bc2_89_bc3_64	16.141754
D1_lib8_bc1_11_bc2_8_bc3_63	340.2268
D1_lib8_bc1_11_bc2_8_bc3_66	132.32663
D1_lib8_bc1_11_bc2_90_bc3_18	347.84863
D1_lib8_bc1_11_bc2_90_bc3_26	105.3832
D1_lib8_bc1_11_bc2_90_bc3_39	279.49716
D1_lib8_bc1_11_bc2_90_bc3_62	346.26355
D1_lib8_bc1_11_bc2_90_bc3_67	104.36266
D1_lib8_bc1_11_bc2_91_bc3_84	35.671127
D1_lib8_bc1_11_bc2_91_bc3_94	287.54272
D1_lib8_bc1_11_bc2_94_bc3_38	219.4096
D1_lib8_bc1_11_bc2_94_bc3_62	219.85298
D1_lib8_bc1_11_bc2_95_bc3_23	28.6577
D1_lib8_bc1_11_bc2_95_bc3_70	228.65396
D1_lib8_bc1_11_bc2_9_bc3_33	352.1889
D1_lib8_bc1_11_bc2_9_bc3_75	36.768204
D1_lib8_bc1_12_bc2_10_bc3_78	114.568535
D1_lib8_bc1_12_bc2_11_bc3_52	191.61792
D1_lib8_bc1_12_bc2_11_bc3_54	118.3819
D1_lib8_bc1_12_bc2_12_bc3_50	177.48824
D1_lib8_bc1_12_bc2_14_bc3_20	70.49296
D1_lib8_bc1_12_bc2_14_bc3_37	174.79185
D1_lib8_bc1_12_bc2_14_bc3_53	229.77135
D1_lib8_bc1_12_bc2_14_bc3_82	104.96282
D1_lib8_bc1_12_bc2_15_bc3_54	216.01129
D1_lib8_bc1_12_bc2_15_bc3_83	204.43867
D1_lib8_bc1_12_bc2_16_bc3_12	93.5236
D1_lib8_bc1_12_bc2_16_bc3_5	247.9389
D1_lib8_bc1_12_bc2_18_bc3_62	65.35787
D1_lib8_bc1_12_bc2_18_bc3_91	86.982475
D1_lib8_bc1_12_bc2_19_bc3_74	321.45508
D1_lib8_bc1_12_bc2_19_bc3_76	37.57013
D1_lib8_bc1_12_bc2_21_bc3_17	167.96867
D1_lib8_bc1_12_bc2_21_bc3_18	185.65726
D1_lib8_bc1_12_bc2_22_bc3_20	175.96999
D1_lib8_bc1_12_bc2_22_bc3_40	354.28293
D1_lib8_bc1_12_bc2_22_bc3_43	241.32652
D1_lib8_bc1_12_bc2_23_bc3_84	133.17886
D1_lib8_bc1_12_bc2_24_bc3_44	307.50275
D1_lib8_bc1_12_bc2_24_bc3_67	182.33275
D1_lib8_bc1_12_bc2_24_bc3_7	143.39494
D1_lib8_bc1_12_bc2_24_bc3_74	13.273178
D1_lib8_bc1_12_bc2_25_bc3_71	345.99066
D1_lib8_bc1_12_bc2_26_bc3_22	210.92442
D1_lib8_bc1_12_bc2_29_bc3_29	148.6105
D1_lib8_bc1_12_bc2_29_bc3_56	206.56729
D1_lib8_bc1_12_bc2_30_bc3_80	81.91104
D1_lib8_bc1_12_bc2_31_bc3_23	110.52106
D1_lib8_bc1_12_bc2_31_bc3_63	165.55257
D1_lib8_bc1_12_bc2_32_bc3_74	314.20624
D1_lib8_bc1_12_bc2_32_bc3_88	351.89337
D1_lib8_bc1_12_bc2_33_bc3_45	43.684784
D1_lib8_bc1_12_bc2_33_bc3_5	336.70908
D1_lib8_bc1_12_bc2_33_bc3_80	191.24535
D1_lib8_bc1_12_bc2_34_bc3_55	212.78496
D1_lib8_bc1_12_bc2_35_bc3_51	258.82355
D1_lib8_bc1_12_bc2_35_bc3_7	137.62866
D1_lib8_bc1_12_bc2_36_bc3_71	94.40847
D1_lib8_bc1_12_bc2_36_bc3_79	92.38744
D1_lib8_bc1_12_bc2_37_bc3_47	276.18393
D1_lib8_bc1_12_bc2_38_bc3_82	199.53812
D1_lib8_bc1_12_bc2_38_bc3_85	235.63835
D1_lib8_bc1_12_bc2_39_bc3_52	124.394394
D1_lib8_bc1_12_bc2_39_bc3_8	208.19005
D1_lib8_bc1_12_bc2_39_bc3_91	310.17822
D1_lib8_bc1_12_bc2_3_bc3_53	310.46906
D1_lib8_bc1_12_bc2_41_bc3_36	201.97655
D1_lib8_bc1_12_bc2_42_bc3_39	148.46304
D1_lib8_bc1_12_bc2_42_bc3_4	173.31816
D1_lib8_bc1_12_bc2_42_bc3_51	67.50451
D1_lib8_bc1_12_bc2_42_bc3_83	17.731308
D1_lib8_bc1_12_bc2_43_bc3_70	212.93182
D1_lib8_bc1_12_bc2_43_bc3_82	99.396286
D1_lib8_bc1_12_bc2_44_bc3_63	146.84007
D1_lib8_bc1_12_bc2_44_bc3_89	248.4306
D1_lib8_bc1_12_bc2_48_bc3_77	163.97365
D1_lib8_bc1_12_bc2_48_bc3_95	148.1451
D1_lib8_bc1_12_bc2_49_bc3_22	282.79474
D1_lib8_bc1_12_bc2_4_bc3_82	165.72275
D1_lib8_bc1_12_bc2_50_bc3_10	197.54443
D1_lib8_bc1_12_bc2_51_bc3_30	323.04236
D1_lib8_bc1_12_bc2_52_bc3_31	317.08502
D1_lib8_bc1_12_bc2_53_bc3_23	346.90906
D1_lib8_bc1_12_bc2_53_bc3_74	303.36252
D1_lib8_bc1_12_bc2_54_bc3_22	126.572525
D1_lib8_bc1_12_bc2_54_bc3_37	99.39572
D1_lib8_bc1_12_bc2_54_bc3_66	100.89774
D1_lib8_bc1_12_bc2_55_bc3_63	350.87033
D1_lib8_bc1_12_bc2_55_bc3_88	271.06747
D1_lib8_bc1_12_bc2_56_bc3_28	81.542755
D1_lib8_bc1_12_bc2_58_bc3_18	261.24973
D1_lib8_bc1_12_bc2_58_bc3_93	81.335365
D1_lib8_bc1_12_bc2_59_bc3_31	41.583878
D1_lib8_bc1_12_bc2_59_bc3_76	30.520126
D1_lib8_bc1_12_bc2_59_bc3_96	307.90106
D1_lib8_bc1_12_bc2_60_bc3_23	119.23265
D1_lib8_bc1_12_bc2_60_bc3_40	234.25848
D1_lib8_bc1_12_bc2_60_bc3_5	352.0556
D1_lib8_bc1_12_bc2_61_bc3_85	16.54506
D1_lib8_bc1_12_bc2_61_bc3_96	255.1232
D1_lib8_bc1_12_bc2_62_bc3_55	106.411255
D1_lib8_bc1_12_bc2_62_bc3_71	153.87057
D1_lib8_bc1_12_bc2_63_bc3_67	121.784744
D1_lib8_bc1_12_bc2_63_bc3_86	110.04639
D1_lib8_bc1_12_bc2_64_bc3_77	172.82808
D1_lib8_bc1_12_bc2_67_bc3_39	297.12204
D1_lib8_bc1_12_bc2_67_bc3_49	112.55092
D1_lib8_bc1_12_bc2_68_bc3_73	258.3557
D1_lib8_bc1_12_bc2_69_bc3_43	44.60576
D1_lib8_bc1_12_bc2_69_bc3_83	225.35635
D1_lib8_bc1_12_bc2_70_bc3_36	143.89871
D1_lib8_bc1_12_bc2_70_bc3_57	107.44533
D1_lib8_bc1_12_bc2_70_bc3_84	252.04446
D1_lib8_bc1_12_bc2_72_bc3_48	338.17554
D1_lib8_bc1_12_bc2_74_bc3_43	95.26745
D1_lib8_bc1_12_bc2_74_bc3_45	323.18048
D1_lib8_bc1_12_bc2_74_bc3_79	25.015045
D1_lib8_bc1_12_bc2_75_bc3_20	4.0786285
D1_lib8_bc1_12_bc2_75_bc3_29	12.0212555
D1_lib8_bc1_12_bc2_75_bc3_52	358.53772
D1_lib8_bc1_12_bc2_75_bc3_64	46.729095
D1_lib8_bc1_12_bc2_76_bc3_48	226.88144
D1_lib8_bc1_12_bc2_77_bc3_52	212.59094
D1_lib8_bc1_12_bc2_77_bc3_82	214.60902
D1_lib8_bc1_12_bc2_77_bc3_94	171.50644
D1_lib8_bc1_12_bc2_79_bc3_83	344.60565
D1_lib8_bc1_12_bc2_79_bc3_87	35.762802
D1_lib8_bc1_12_bc2_79_bc3_93	87.37819
D1_lib8_bc1_12_bc2_80_bc3_71	227.43808
D1_lib8_bc1_12_bc2_81_bc3_25	337.11536
D1_lib8_bc1_12_bc2_83_bc3_62	264.93634
D1_lib8_bc1_12_bc2_84_bc3_28	201.83606
D1_lib8_bc1_12_bc2_85_bc3_16	118.53338
