cell_angle	gene_angle	expression
-3.112551953408699	-3.1128475666046143	-0.4229785
-3.112551953408699	-3.041746139526367	-0.42859563
-3.112551953408699	-2.9892945289611816	-0.3952338
-3.112551953408699	-2.921245574951172	-0.3919318
-3.112551953408699	-2.8586134910583496	-0.41810146
-3.112551953408699	-2.7992992401123047	-0.3918798
-3.112551953408699	-2.7326838970184326	-0.34964985
-3.112551953408699	-2.671384572982788	-0.32245976
-3.112551953408699	-2.603999614715576	-0.2617322
-3.112551953408699	-2.5392374992370605	-0.31067798
-3.112551953408699	-2.479177951812744	-0.24536872
-3.112551953408699	-2.4120876789093018	-0.13994642
-3.112551953408699	-2.355482578277588	-0.20294496
-3.112551953408699	-2.296827793121338	-0.19849762
-3.112551953408699	-2.2237353324890137	-0.0951352
-3.112551953408699	-2.1747095584869385	-0.11389147
-3.112551953408699	-2.098839282989502	-0.07671765
-3.112551953408699	-2.041410207748413	0.0329332
-3.112551953408699	-1.9767042398452759	0.006023655
-3.112551953408699	-1.9214591979980469	0.03557963
-3.112551953408699	-1.847955584526062	0.05474633
-3.112551953408699	-1.7972522974014282	-0.013654912
-3.112551953408699	-1.7332375049591064	0.0523933
-3.112551953408699	-1.6660313606262207	0.048649956
-3.112551953408699	-1.6000094413757324	0.08991844
-3.112551953408699	-1.5280903577804565	0.23950663
-3.112551953408699	-1.4794270992279053	0.2953181
-3.112551953408699	-1.4118467569351196	0.16894025
-3.112551953408699	-1.3592536449432373	0.20434041
-3.112551953408699	-1.2867858409881592	0.3109219
-3.112551953408699	-1.2186033725738525	0.295007
-3.112551953408699	-1.1637998819351196	0.1927963
-3.112551953408699	-1.097144365310669	0.2715728
-3.112551953408699	-1.0359158515930176	0.30610713
-3.112551953408699	-0.9804267883300781	0.38578892
-3.112551953408699	-0.910181999206543	0.3854267
-3.112551953408699	-0.8439583778381348	0.3602161
-3.112551953408699	-0.7851736545562744	0.3307526
-3.112551953408699	-0.7152676582336426	0.38746125
-3.112551953408699	-0.6580932140350342	0.4015289
-3.112551953408699	-0.5982456207275391	0.3316869
-3.112551953408699	-0.5274481773376465	0.4497359
-3.112551953408699	-0.46914029121398926	0.5542584
-3.112551953408699	-0.41731882095336914	0.42299643
-3.112551953408699	-0.34026622772216797	0.4539977
-3.112551953408699	-0.28409790992736816	0.5021481
-3.112551953408699	-0.22155117988586426	0.19761387
-3.112551953408699	-0.1568589210510254	0.60525405
-3.112551953408699	-0.09273648262023926	0.37241173
-3.112551953408699	-0.030817031860351562	0.43495536
-3.112551953408699	0.022349834442138672	0.5252814
-3.112551953408699	0.09049034118652344	0.39456466
-3.112551953408699	0.1549665927886963	0.368507
-3.112551953408699	0.21684527397155762	0.2515605
-3.112551953408699	0.28242015838623047	0.37813506
-3.112551953408699	0.3437631130218506	0.19657283
-3.112551953408699	0.4080960750579834	0.18092836
-3.112551953408699	0.4693167209625244	0.16164756
-3.112551953408699	0.5370838642120361	0.09019569
-3.112551953408699	0.5971157550811768	0.02337109
-3.112551953408699	0.6649107933044434	-0.029420134
-3.112551953408699	0.7244982719421387	-0.10591944
-3.112551953408699	0.7891933917999268	-0.21646152
