gene	angle_pred
0	2.91164980367356
1	2.92169217305469
2	2.93096865092769
3	2.93245141687519
4	2.93932605899363
5	2.95140263618389
6	2.97322748037806
7	2.97522492540953
8	2.98682358627763
9	2.99868571381305
10	3.00292568914905
11	3.00716566448396
12	3.01487972365263
13	3.02071888043161
14	3.03275256763806
15	3.03568133672264
16	3.04596266417445
17	3.06120084138138
18	3.0655756136047
19	3.07672086664472
20	3.08490058781016
21	3.09211834925474
22	3.09841704090338
23	3.1148745173207
24	3.11978235000948
25	3.14000188541672
26	-3.1380366309357
27	-3.12282296234475
28	-3.12222863054747
29	-3.11635883815889
30	-3.0837073521416
31	-3.075307054285
32	-3.06292412069031
33	-3.06029558110104
34	-3.0494076677016
35	-3.0256895401108
36	-3.0127674189435
37	-3.0062604048741
38	-3.00452642654902
39	-2.99983917065344
40	-2.98520145257675
41	-2.98215014089876
42	-2.94707843803349
43	-2.94084101778935
44	-2.93638659292078
45	-2.92742259899999
46	-2.9193286578079
47	-2.91187193833269
48	-2.90228297697403
49	-2.89531642805384
50	-2.88650561244863
51	-2.88228401860306
52	-2.87275020144576
53	-2.86689266340028
54	-2.86239534862597
55	-2.85773872842478
56	-2.84759832522734
57	-2.83484776387292
58	-2.82828560567787
59	-2.82682122116965
60	-2.80680388148029
61	-2.8052108272053
62	-2.80437141014506
63	-2.79764381940079
64	-2.77978935727255
65	-2.77191599288676
66	-2.77002270915554
67	-2.76847867193797
68	-2.75874878661726
69	-2.7547293881486
70	-2.74346159275056
71	-2.73624995861379
72	-2.73092548107517
73	-2.71126351512448
74	-2.70705417557933
75	-2.69462222516635
76	-2.68951219725107
77	-2.68438378794166
78	-2.67910832747055
79	-2.6644767367631
80	-2.6572467212581
81	-2.63554442049414
82	-2.62267131663512
83	-2.61556997091129
84	-2.60584621279276
85	-2.60134277094348
86	-2.58022254775237
87	-2.57303542219758
88	-2.5646596330842
89	-2.55858151838209
90	-2.55240536957356
91	-2.53868672158128
92	-2.52798262241665
93	-2.52034821626107
94	-2.51026908454271
95	-2.49908706911564
96	-2.49433241488637
97	-2.48694309401136
98	-2.48106104754536
99	-2.4782609483428
100	-2.47312641195034
