gene	angle_pred
0	-2.61730364564154
1	-2.6144663331833
2	-2.61367934140664
3	-2.60100463174475
4	-2.59329004130917
5	-2.59213544153284
6	-2.58159907137975
7	-2.57938824580044
8	-2.57157010382409
9	-2.56644430213268
10	-2.56118388342855
11	-2.55635320365524
12	-2.54400468141053
13	-2.54030271352736
14	-2.51159304654092
15	-2.51115295245759
16	-2.50592359923292
17	-2.50530746751644
18	-2.49555808918176
19	-2.49277255251559
20	-2.48400173632391
21	-2.48253648190737
22	-2.4773899699293
23	-2.46779591893147
24	-2.45490892868852
25	-2.4541322920731
26	-2.44459001686074
27	-2.44011658995862
28	-2.42172583492701
29	-2.41447204895209
30	-2.41379378630931
31	-2.41136032491939
32	-2.41039729551835
33	-2.40263610696004
34	-2.3968631081344
35	-2.39115741781685
36	-2.38532228806545
37	-2.37878818536444
38	-2.3731653362906
39	-2.3687177972913
40	-2.36520222222734
41	-2.35934120459629
42	-2.35288476556472
43	-2.34731369227208
44	-2.34029807488432
45	-2.33547775031892
46	-2.32777351514046
47	-2.32707971976834
48	-2.32657749476019
49	-2.32590958727513
50	-2.32475498751419
51	-2.30676808362343
52	-2.29926059639673
53	-2.29313034475983
54	-2.289185030785
55	-2.28432846318973
56	-2.2823247407387
57	-2.26836081451555
58	-2.26727870084125
59	-2.26488148251034
60	-2.26363886393719
61	-2.2593880729021
62	-2.25574305842203
63	-2.25110394908467
64	-2.24696188717717
65	-2.23021242434703
66	-2.22913548825207
67	-2.22202667451123
68	-2.21998670902449
69	-2.21488679530851
70	-2.21219963265054
71	-2.21134533238362
72	-2.20615739985436
73	-2.19635624588786
74	-2.18961504015123
75	-2.18904032906319
76	-2.18370742437304
77	-2.17917186659877
78	-2.1701628819815
79	-2.168935796146
80	-2.15280246508314
81	-2.1514459398146
82	-2.1467757650358
83	-2.13889549229603
84	-2.13491393530837
85	-2.13179703373986
86	-2.12289677826682
87	-2.12148329964927
88	-2.11880131458033
89	-2.11456605630612
90	-2.10800606580233
91	-2.10714141038485
92	-2.09917311884454
93	-2.08754945770097
94	-2.07616396512132
95	-2.07518022542622
96	-2.06828886998442
97	-2.06490791198108
98	-2.05733311633383
99	-2.02199615102804
100	-2.01906564225942
101	-2.01870321184636
102	-2.0169117700905
103	-2.01171866003024
104	-2.00767497213769
105	-1.995233253825
106	-1.99334861567919
107	-1.97816278139472
108	-1.97367899943611
109	-1.97227587598274
110	-1.97066564943672
111	-1.9670517004689
112	-1.95031259300802
113	-1.94481918347902
114	-1.93604318993638
115	-1.93411195359972
116	-1.92354969589006
117	-1.91983219538361
118	-1.91423005673854
119	-1.87783686588809
120	-1.85472933842242
121	-1.84991419154136
122	-1.84533721321664
123	-1.84226690988393
124	-1.83776759522002
125	-1.83552052667704
126	-1.81595446211489
127	-1.81268223327201
128	-1.80802759129534
129	-1.79216867208694
130	-1.791164222095
131	-1.78605913089948
132	-1.71456714396804
133	-1.71001087597846
134	-1.70414985852041
135	-1.69300253468406
136	-1.68940411849088
137	-1.68862748190249
138	-1.6852672342637
139	-1.67965991809706
140	-1.67302226405844
141	-1.66734763939035
142	-1.6591826000664
143	-1.65552205295122
144	-1.65499911764909
145	-1.65162333728317
146	-1.64993544710039
147	-1.64383108352619
148	-1.63809950551515
149	-1.62959274610284
150	-1.62509860905601
151	-1.62289813872808
152	-1.61867841327625
153	-1.61340246206815
154	-1.60616420908771
155	-1.60336831737909
156	-1.59792150612543
157	-1.59213815235264
158	-1.57995013554311
159	-1.57889908736482
160	-1.57433764182312
161	-1.57174367563008
162	-1.57030948673704
163	-1.56428796441805
164	-1.54988912214605
165	-1.5435776555073
166	-1.53180902247631
167	-1.49097347094986
168	-1.46859598223676
169	-1.45851006183284
170	-1.44384198560558
171	-1.43478640307476
172	-1.43398905618541
173	-1.42874934805596
174	-1.42441571593783
175	-1.41592448932851
176	-1.40401606177128
177	-1.40258187288758
178	-1.3989368585409
179	-1.39117567032429
180	-1.38926514433936
181	-1.38000245873959
182	-1.3456802995497
183	-1.34037328293428
184	-1.330308072888
185	-1.3284337899477
186	-1.32799887346434
187	-1.3269581804506
188	-1.3265387966988
189	-1.32555505703412
190	-1.31823396289917
191	-1.31624059568455
192	-1.31259558134962
193	-1.31035886800798
194	-1.30457551429907
195	-1.3016553607706
196	-1.298108720404
197	-1.2768547660999
198	-1.25388703376932
199	-1.2502575521742
200	-1.24310731810588
201	-1.2391361164192
