	tu	genes
369	TU1TQS206	SAUSA300_RS01940
368	TU1TQS206	SAUSA300_RS01945
370	TU1TQS207	SAUSA300_RS01950
2926	TU1TQS208	SAUSA300_RS01955
371	TU1TQS209	SAUSA300_RS01965
372	TU1TQS210	SAUSA300_RS01970
373	TU1TQS211	SAUSA300_RS01975
374	TU1TQS212	SAUSA300_RS01980
375	TU1TQS1911	SAUSA300_RS01985
376	TU1TQS1910	SAUSA300_RS01990
377	TU1TQS1909	SAUSA300_RS01995
378	TU1TQS1908	SAUSA300_RS02000
379	TU1TQS213	SAUSA300_RS02005
380	TU1TQS214	SAUSA300_RS02010
381	TU1TQS215	SAUSA300_RS02015
383	TU1TQS216	SAUSA300_RS02020
382	TU1TQS216	SAUSA300_RS02025
384	TU1TQS1907	SAUSA300_RS02030
385	TU1TQS1906	SAUSA300_RS02035
386	TU1TQS1905	SAUSA300_RS02040
387	TU1TQS218	SAUSA300_RS02045
388	TU1TQS219	SAUSA300_RS02050
389	TU1TQS220	SAUSA300_RS02055
393	TU1TQS221	SAUSA300_RS02060
392	TU1TQS221	SAUSA300_RS02065
391	TU1TQS221	SAUSA300_RS02070
390	TU1TQS221	SAUSA300_RS02075
394	TU1TQS222	SAUSA300_RS02080
395	TU1TQS223	SAUSA300_RS02085
398	TU1TQS224	SAUSA300_RS02090
396	TU1TQS224	SAUSA300_RS02095
400	TU1TQS225	SAUSA300_RS02100
399	TU1TQS225	SAUSA300_RS02105
401	TU1TQS226	SAUSA300_RS02110
402	TU1TQS227	SAUSA300_RS02115
403	TU1TQS228	SAUSA300_RS02120
404	TU1TQS229	SAUSA300_RS02125
405	TU1TQS230	SAUSA300_RS02130
406	TU1TQS231	SAUSA300_RS02135
407	TU1TQS1904	SAUSA300_RS02140
408	TU1TQS1903	SAUSA300_RS02145
409	TU1TQS232	SAUSA300_RS02150
410	TU1TQS233	SAUSA300_RS02155
411	TU1TQS234	SAUSA300_RS02160
412	TU1TQS235	SAUSA300_RS02165
413	TU1TQS1901	SAUSA300_RS02170
415	TU1TQS236	SAUSA300_RS02175
414	TU1TQS236	SAUSA300_RS02180
417	TU1TQS237	SAUSA300_RS02185
416	TU1TQS237	SAUSA300_RS02190
418	TU1TQS1900	SAUSA300_RS02195
421	TU1TQS238	SAUSA300_RS02200
420	TU1TQS238	SAUSA300_RS02205
419	TU1TQS238	SAUSA300_RS02210
424	TU1TQS239	SAUSA300_RS02215
423	TU1TQS239	SAUSA300_RS02220
422	TU1TQS239	SAUSA300_RS02225
425	TU1TQS240	SAUSA300_RS02230
427	TU1TQS241	SAUSA300_RS02235
426	TU1TQS241	SAUSA300_RS02240
431	TU1TQS242	SAUSA300_RS02245
430	TU1TQS242	SAUSA300_RS02250
429	TU1TQS242	SAUSA300_RS02255
428	TU1TQS242	SAUSA300_RS02260
432	TU1TQS1899	SAUSA300_RS02265
433	TU1TQS243	SAUSA300_RS02270
434	TU1TQS244	SAUSA300_RS02275
436	TU1TQS245	SAUSA300_RS02280
435	TU1TQS245	SAUSA300_RS02285
437	TU1TQS246	SAUSA300_RS02290
439	TU1TQS247	SAUSA300_RS02300
438	TU1TQS247	SAUSA300_RS02305
440	TU1TQS248	SAUSA300_RS02310
441	TU1TQS249	SAUSA300_RS02315
443	TU1TQS250	SAUSA300_RS02320
442	TU1TQS250	SAUSA300_RS02325
446	TU1TQS251	SAUSA300_RS02330
445	TU1TQS251	SAUSA300_RS02335
444	TU1TQS251	SAUSA300_RS02340
447	TU1TQS252	SAUSA300_RS02345
448	TU1TQS1896	SAUSA300_RS02350
450	TU1TQS253	SAUSA300_RS02355
449	TU1TQS253	SAUSA300_RS02360
452	TU1TQS254	SAUSA300_RS02365
451	TU1TQS254	SAUSA300_RS02370
453	TU1TQS255	SAUSA300_RS02375
455	TU1TQS256	SAUSA300_RS02380
454	TU1TQS256	SAUSA300_RS02385
456	TU1TQS257	SAUSA300_RS02390
457	TU1TQS258	SAUSA300_RS02395
459	TU1TQS259	SAUSA300_RS02400
458	TU1TQS259	SAUSA300_RS02405
460	TU1TQS261	SAUSA300_RS02410
461	TU1TQS262	SAUSA300_RS02415
462	TU1TQS263	SAUSA300_RS02420
464	TU1TQS264	SAUSA300_RS02425
463	TU1TQS264	SAUSA300_RS02430
465	TU1TQS265	SAUSA300_RS02435
466	TU1TQS267	SAUSA300_RS02440
467	TU1TQS268	SAUSA300_RS02445
468	TU1TQS269	SAUSA300_RS02450
471	TU1TQS270	SAUSA300_RS02455
470	TU1TQS270	SAUSA300_RS02460
469	TU1TQS270	SAUSA300_RS02465
474	TU1TQS271	SAUSA300_RS02475
473	TU1TQS271	SAUSA300_RS02480
472	TU1TQS271	SAUSA300_RS02485
477	TU1TQS272	SAUSA300_RS02490
476	TU1TQS272	SAUSA300_RS02495
475	TU1TQS272	SAUSA300_RS02500
479	TU1TQS273	SAUSA300_RS02510
478	TU1TQS273	SAUSA300_RS02515
481	TU1TQS274	SAUSA300_RS02520
480	TU1TQS274	SAUSA300_RS02525
482	TU1TQS275	SAUSA300_RS02530
485	TU1TQS276	SAUSA300_RS02535
484	TU1TQS276	SAUSA300_RS02540
483	TU1TQS276	SAUSA300_RS02545
486	TU1TQS277	SAUSA300_RS02550
488	TU1TQS278	SAUSA300_RS02555
487	TU1TQS278	SAUSA300_RS02560
489	TU1TQS279	SAUSA300_RS02565
490	TU1TQS1895	SAUSA300_RS02570
491	TU1TQS280	SAUSA300_RS02575
497	TU1TQS281	SAUSA300_RS02580
496	TU1TQS281	SAUSA300_RS02585
495	TU1TQS281	SAUSA300_RS02590
494	TU1TQS281	SAUSA300_RS02595
493	TU1TQS281	SAUSA300_RS02600
492	TU1TQS281	SAUSA300_RS02605
498	TU1TQS282	SAUSA300_RS02610
500	TU1TQS283	SAUSA300_RS02615
499	TU1TQS283	SAUSA300_RS02620
501	TU1TQS284	SAUSA300_RS02625
502	TU1TQS285	SAUSA300_RS02630
503	TU1TQS286	SAUSA300_RS02635
504	TU1TQS287	SAUSA300_RS02640
506	TU1TQS288	SAUSA300_RS02645
505	TU1TQS288	SAUSA300_RS02650
507	TU1TQS289	SAUSA300_RS02655
508	TU1TQS290	SAUSA300_RS02660
510	TU1TQS291	SAUSA300_RS02665
509	TU1TQS291	SAUSA300_RS02670
511	TU1TQS292	SAUSA300_RS02675
512	TU1TQS293	SAUSA300_RS02680
513	TU1TQS294	SAUSA300_RS02685
514	TU1TQS295	SAUSA300_RS02690
515	TU1TQS1894	SAUSA300_RS02695
517	TU1TQS296	SAUSA300_RS02700
516	TU1TQS296	SAUSA300_RS02705
518	TU1TQS1893	SAUSA300_RS02710
519	TU1TQS297	SAUSA300_RS02715
522	TU1TQS298	SAUSA300_RS02720
521	TU1TQS298	SAUSA300_RS02725
520	TU1TQS298	SAUSA300_RS02730
523	TU1TQS299	SAUSA300_RS02740
524	TU1TQS300	SAUSA300_RS02745
525	TU1TQS301	SAUSA300_RS02750
530	TU1TQS302	SAUSA300_RS02755
529	TU1TQS302	SAUSA300_RS02760
528	TU1TQS302	SAUSA300_RS02765
527	TU1TQS302	SAUSA300_RS02770
526	TU1TQS302	SAUSA300_RS02775
531	TU1TQS303	SAUSA300_RS02780
533	TU1TQS305	SAUSA300_RS02785
532	TU1TQS305	SAUSA300_RS02790
534	TU1TQS306	SAUSA300_RS02795
535	TU1TQS307	SAUSA300_RS02800
536	TU1TQS308	SAUSA300_RS02805
537	TU1TQS309	SAUSA300_RS02810
538	TU1TQS310	SAUSA300_RS02815
539	TU1TQS311	SAUSA300_RS02820
540	TU1TQS312	SAUSA300_RS02825
541	TU1TQS313	SAUSA300_RS02830
542	TU1TQS314	SAUSA300_RS02835
543	TU1TQS315	SAUSA300_RS02840
544	TU1TQS316	SAUSA300_RS02845
545	TU1TQS317	SAUSA300_RS02850
546	TU1TQS1891	SAUSA300_RS02855
547	TU1TQS318	SAUSA300_RS02860
548	TU1TQS319	SAUSA300_RS02865
549	TU1TQS320	SAUSA300_RS02870
550	TU1TQS321	SAUSA300_RS02875
551	TU1TQS322	SAUSA300_RS02880
552	TU1TQS324	SAUSA300_RS02885
554	TU1TQS325	SAUSA300_RS02890
553	TU1TQS325	SAUSA300_RS02895
555	TU1TQS326	SAUSA300_RS02900
557	TU1TQS327	SAUSA300_RS02905
556	TU1TQS327	SAUSA300_RS02910
558	TU1TQS328	SAUSA300_RS02915
559	TU1TQS329	SAUSA300_RS02920
560	TU1TQS330	SAUSA300_RS02925
561	TU1TQS331	SAUSA300_RS02930
562	TU1TQS332	SAUSA300_RS02935
565	TU1TQS333	SAUSA300_RS02940
564	TU1TQS333	SAUSA300_RS02945
563	TU1TQS333	SAUSA300_RS02950
566	TU1TQS334	SAUSA300_RS02955
568	TU1TQS335	SAUSA300_RS02960
567	TU1TQS335	SAUSA300_RS02965
569	TU1TQS336	SAUSA300_RS02970
570	TU1TQS337	SAUSA300_RS02975
573	TU1TQS338	SAUSA300_RS02980
572	TU1TQS338	SAUSA300_RS02985
571	TU1TQS338	SAUSA300_RS02990
575	TU1TQS339	SAUSA300_RS02995
574	TU1TQS339	SAUSA300_RS03000
576	TU1TQS340	SAUSA300_RS03005
577	TU1TQS341	SAUSA300_RS03010
579	TU1TQS342	SAUSA300_RS03015
578	TU1TQS342	SAUSA300_RS03020
580	TU1TQS343	SAUSA300_RS03025
581	TU1TQS344	SAUSA300_RS03030
583	TU1TQS345	SAUSA300_RS03035
582	TU1TQS345	SAUSA300_RS03040
584	TU1TQS1888	SAUSA300_RS03045
585	TU1TQS346	SAUSA300_RS03050
586	TU1TQS347	SAUSA300_RS03055
589	TU1TQS348	SAUSA300_RS03060
588	TU1TQS348	SAUSA300_RS03065
587	TU1TQS348	SAUSA300_RS03070
590	TU1TQS349	SAUSA300_RS03075
592	TU1TQS350	SAUSA300_RS03080
591	TU1TQS350	SAUSA300_RS03085
593	TU1TQS351	SAUSA300_RS03090
595	TU1TQS352	SAUSA300_RS03095
594	TU1TQS352	SAUSA300_RS03100
596	TU1TQS353	SAUSA300_RS03105
597	TU1TQS354	SAUSA300_RS03110
598	TU1TQS355	SAUSA300_RS03115
600	TU1TQS356	SAUSA300_RS03120
599	TU1TQS356	SAUSA300_RS03125
601	TU1TQS357	SAUSA300_RS03130
602	TU1TQS359	SAUSA300_RS03135
603	TU1TQS360	SAUSA300_RS03140
608	TU1TQS361	SAUSA300_RS03145
607	TU1TQS361	SAUSA300_RS03150
606	TU1TQS361	SAUSA300_RS03155
605	TU1TQS361	SAUSA300_RS03160
609	TU1TQS362	SAUSA300_RS03165
610	TU1TQS363	SAUSA300_RS03170
613	TU1TQS364	SAUSA300_RS03175
612	TU1TQS364	SAUSA300_RS03180
611	TU1TQS364	SAUSA300_RS03185
614	TU1TQS365	SAUSA300_RS03190
615	TU1TQS366	SAUSA300_RS03195
617	TU1TQS367	SAUSA300_RS03200
616	TU1TQS367	SAUSA300_RS03205
618	TU1TQS369	SAUSA300_RS03210
619	TU1TQS370	SAUSA300_RS03215
620	TU1TQS371	SAUSA300_RS03220
622	TU1TQS372	SAUSA300_RS03225
621	TU1TQS372	SAUSA300_RS03230
623	TU1TQS373	SAUSA300_RS03235
624	TU1TQS374	SAUSA300_RS03240
625	TU1TQS375	SAUSA300_RS03245
